"Account Name","Parent Account","Account Number","Parent Account Number","Is Group","Account Type","Root Type","Account Currency"
"11520-Kaucije na aukcijama (dražbama)","1152-Kaucije i jamčevine (do jedne godine)","11520","1152","1","","Asset","EUR"
"11521-Kaucije za robu","1152-Kaucije i jamčevine (do jedne godine)","11521","1152","0","Fixed Asset","Asset","EUR"
"11522-Kaucije za ambalažu","1152-Kaucije i jamčevine (do jedne godine)","11522","1152","0","Fixed Asset","Asset","EUR"
"11523-Dane jamčevine za natječaje","1152-Kaucije i jamčevine (do jedne godine)","11523","1152","0","Fixed Asset","Asset","EUR"
"11524-Potraživanja za kapare (čl. 303. ZOO-a)","1152-Kaucije i jamčevine (do jedne godine)","11524","1152","0","Fixed Asset","Asset","EUR"
"11525-Polozi gotovine za ostale poslovne aktivnosti","1152-Kaucije i jamčevine (do jedne godine)","11525","1152","0","Fixed Asset","Asset","EUR"
"11526-Potraživanja iz realiziranih danih jamstava","1152-Kaucije i jamčevine (do jedne godine)","11526","1152","0","Fixed Asset","Asset","EUR"
"116-Potraživanja iz ulaganja u investicijske fondove","11-KRATKOTRAJNA FILNANCIJSKA IMOVINA (DO JEDNE GODINE)","116","11","0","Fixed Asset","Asset","EUR"
"1160-Kratkotrajno ulaganje u novčane fondove","116-Potraživanja iz ulaganja u investicijske fondove","1160","116","1","","Asset","EUR"
"1161-Kratkotrajno ulaganje u investicijske (dioničke) i dr....","116-Potraživanja iz ulaganja u investicijske fondove","1161","116","0","Fixed Asset","Asset","EUR"
"117-Ostala financijska imovina","11-KRATKOTRAJNA FILNANCIJSKA IMOVINA (DO JEDNE GODINE)","117","11","0","Fixed Asset","Asset","EUR"
"1170-Otkup kratkoročnih potraživanja (faktoring)","117-Ostala financijska imovina","1170","117","1","","Asset","EUR"
"1171-Ulaganje u kratkotrajne eskontne poslove","117-Ostala financijska imovina","1171","117","0","Fixed Asset","Asset","EUR"
"1172-Potraživanja za više uplaćeno po kreditnoj kartici","117-Ostala financijska imovina","1172","117","0","Fixed Asset","Asset","EUR"
"1173-Potraživanja za isplate avaliranih ili indosiranih mjenica","117-Ostala financijska imovina","1173","117","0","Fixed Asset","Asset","EUR"
"1174-Potraživanja po isplaćenim garancijama","117-Ostala financijska imovina","1174","117","0","Fixed Asset","Asset","EUR"
"1175-Potraživanja iz preuzetog duga (čl. 96. ZOO)","117-Ostala financijska imovina","1175","117","0","Fixed Asset","Asset","EUR"
"1176-Potraživanje po asignacijama, novacijama i sl.","117-Ostala financijska imovina","1176","117","0","Fixed Asset","Asset","EUR"
"1177-Ulaganje u investicijsko zlato (kratkoročno)","117-Ostala financijska imovina","1177","117","0","Fixed Asset","Asset","EUR"
"1178-Ostala financijska imovina","117-Ostala financijska imovina","1178","117","0","Fixed Asset","Asset","EUR"
"118-Potraživanja u sporu (npr. utužena, u predstečaju ili u...","11-KRATKOTRAJNA FILNANCIJSKA IMOVINA (DO JEDNE GODINE)","118","11","0","Fixed Asset","Asset","EUR"
"119-Vrijednosno usklađivanje financijske imovine –...","11-KRATKOTRAJNA FILNANCIJSKA IMOVINA (DO JEDNE GODINE)","119","11","0","Fixed Asset","Asset","EUR"
"12-POTRAŽIVANJA (KRATKOTRAJNA)","1-NOVAC, KRATKOTRAJNA FINANCIJSKA IMOVINA, KRATKOTRAJNA...","12","1","0","Receivable","Asset","EUR"
"120-Potraživanja od kupaca","12-POTRAŽIVANJA (KRATKOTRAJNA)","120","12","1","","Asset","EUR"
"1200-Potraživanja od kupaca dobara","120-Potraživanja od kupaca","1200","120","1","","Asset","EUR"
"1201-Potraživanja od kupaca usluga (servisne, građenje i...","120-Potraživanja od kupaca","1201","120","0","Receivable","Asset","EUR"
"1202-Potraživanja za prodaju prava","120-Potraživanja od kupaca","1202","120","0","Receivable","Asset","EUR"
"1203-Kupci građani i prodaja na potrošački kredit","120-Potraživanja od kupaca","1203","120","0","Receivable","Asset","EUR"
"1204-Kupci imovinskih sredstava, inventara, materijala,...","120-Potraživanja od kupaca","1204","120","0","Receivable","Asset","EUR"
"1205-Potraživanja od kupaca za prodanu robu iz komisije","120-Potraživanja od kupaca","1205","120","0","Receivable","Asset","EUR"
"1206-Kupci zastupničke (komisijske) i franšizne prodaje","120-Potraživanja od kupaca","1206","120","0","Receivable","Asset","EUR"
"1207-Potraživanja za prodaju na kreditne kartice","120-Potraživanja od kupaca","1207","120","0","Receivable","Asset","EUR"
"1208-Potraživanja od kupaca povezanih osoba koje nisu grupa...","120-Potraživanja od kupaca","1208","120","0","Receivable","Asset","EUR"
"1209-Potraživanja za nefakturiranu isporuku dobara ili usluga","120-Potraživanja od kupaca","1209","120","0","Receivable","Asset","EUR"
"121-Kupci iz EU i iz trećih zemalja","12-POTRAŽIVANJA (KRATKOTRAJNA)","121","12","0","Receivable","Asset","EUR"
"1210-Kupci dobara iz EU","121-Kupci iz EU i iz trećih zemalja","1210","121","1","","Asset","EUR"
"1211-Kupci dobara iz trećih zemalja","121-Kupci iz EU i iz trećih zemalja","1211","121","0","Receivable","Asset","EUR"
"1212-Kupci usluga iz EU","121-Kupci iz EU i iz trećih zemalja","1212","121","0","Receivable","Asset","EUR"
"1213-Kupci usluga iz trećih zemalja","121-Kupci iz EU i iz trećih zemalja","1213","121","0","Receivable","Asset","EUR"
"1214-Kupci prava iz EU","121-Kupci iz EU i iz trećih zemalja","1214","121","0","Receivable","Asset","EUR"
"1215-Kupci prava iz trećih zemalja","121-Kupci iz EU i iz trećih zemalja","1215","121","0","Receivable","Asset","EUR"
"1216-Potraživanja od kupaca povezanih osoba iz EU koje nisu...","121-Kupci iz EU i iz trećih zemalja","1216","121","0","Receivable","Asset","EUR"
"1217-Potraživanja od kupaca povezanih osoba iz trećih zemalja...","121-Kupci iz EU i iz trećih zemalja","1217","121","0","Receivable","Asset","EUR"
"122-Potraživanja od poduzetnika unutar grupe","12-POTRAŽIVANJA (KRATKOTRAJNA)","122","12","0","Receivable","Asset","EUR"
"1220-Potraživanja od poduzetnika unutar grupe za isporučene...","122-Potraživanja od poduzetnika unutar grupe","1220","122","1","","Asset","EUR"
"1221-Ostala potraživanja od poduzetnika unutar grupe","122-Potraživanja od poduzetnika unutar grupe","1221","122","0","Receivable","Asset","EUR"
"12210-Potraživanja za dividendu – dobitak","1221-Ostala potraživanja od poduzetnika unutar grupe","12210","1221","1","","Asset","EUR"
"12211-Potraživanja za kamatu","1221-Ostala potraživanja od poduzetnika unutar grupe","12211","1221","0","Receivable","Asset","EUR"
"12212-Ostala potraživanja","1221-Ostala potraživanja od poduzetnika unutar grupe","12212","1221","0","Receivable","Asset","EUR"
"123-Potraživanja od društava povezanih sudjelujućim interesom","12-POTRAŽIVANJA (KRATKOTRAJNA)","123","12","0","Receivable","Asset","EUR"
"1230-Potraživanja od društava povezanih sudjelujućim...","123-Potraživanja od društava povezanih sudjelujućim interesom","1230","123","1","","Asset","EUR"
"1231-Ostala potraživanja od društava povezanih sudjelujućim...","123-Potraživanja od društava povezanih sudjelujućim interesom","1231","123","0","Receivable","Asset","EUR"
"12310-Potraživanja za dividendu – dobitak","1231-Ostala potraživanja od društava povezanih sudjelujućim...","12310","1231","1","","Asset","EUR"
"12311-Potraživanja za kamatu","1231-Ostala potraživanja od društava povezanih sudjelujućim...","12311","1231","0","Receivable","Asset","EUR"
"12312-Ostala potraživanja","1231-Ostala potraživanja od društava povezanih sudjelujućim...","12312","1231","0","Receivable","Asset","EUR"
"124-Potraživanja za kamate","12-POTRAŽIVANJA (KRATKOTRAJNA)","124","12","0","Receivable","Asset","EUR"
"1240-Potraživanja za ugovorene kamate (koje nisu pripisane...","124-Potraživanja za kamate","1240","124","1","","Asset","EUR"
"1241-Potraživanja za zatezne kamate (koje nisu pripisane...","124-Potraživanja za kamate","1241","124","0","Receivable","Asset","EUR"
"1242-Potraživanja za kamate po nagodbama","124-Potraživanja za kamate","1242","124","0","Receivable","Asset","EUR"
"1243-Potraživanje za kamatu iz danih zajmova","124-Potraživanja za kamate","1243","124","0","Receivable","Asset","EUR"
"1245-Kamate iz ostalih tražbina","124-Potraživanja za kamate","1245","124","0","Receivable","Asset","EUR"
"1246-Potraživanja za kamate od povezanih osoba (koje nisu...","124-Potraživanja za kamate","1246","124","0","Receivable","Asset","EUR"
"125-Potraživanja za predujmove za usluge (koje nisu u svezi...","12-POTRAŽIVANJA (KRATKOTRAJNA)","125","12","0","Receivable","Asset","EUR"
"1250-Potraživanja za predujmljene usluge s PDV-om","125-Potraživanja za predujmove za usluge (koje nisu u svezi...","1250","125","1","","Asset","EUR"
"1251-Potraživanja za predujmljene usluge bez PDV-a (npr....","125-Potraživanja za predujmove za usluge (koje nisu u svezi...","1251","125","0","Receivable","Asset","EUR"
"126-Potraživanja iz vanjskotrgovačkog poslovanja (s osnove...","12-POTRAŽIVANJA (KRATKOTRAJNA)","126","12","0","Receivable","Asset","EUR"
"1260-Potraživanja po poslovima uvoza za tuđi račun","126-Potraživanja iz vanjskotrgovačkog poslovanja (s osnove...","1260","126","1","","Asset","EUR"
"1261-Potraživanja od izvoznika","126-Potraživanja iz vanjskotrgovačkog poslovanja (s osnove...","1261","126","0","Receivable","Asset","EUR"
"127-Potraživanja s osnove ostalih aktivnosti","12-POTRAŽIVANJA (KRATKOTRAJNA)","127","12","0","Receivable","Asset","EUR"
"1270-Potraživanja s osnove prodaje udjela i dionica","127-Potraživanja s osnove ostalih aktivnosti","1270","127","1","","Asset","EUR"
"1271-Potraživanja za nakladno odobrene popuste (bonifikacije,...","127-Potraživanja s osnove ostalih aktivnosti","1271","127","0","Receivable","Asset","EUR"
"1272-Potraživanja za predujam za kupnju dionica i udjela","127-Potraživanja s osnove ostalih aktivnosti","1272","127","0","Receivable","Asset","EUR"
"1273-Potraživanja za dobitak – dividendu","127-Potraživanja s osnove ostalih aktivnosti","1273","127","0","Receivable","Asset","EUR"
"1274-Potraživanja za povrat PDV-a iz EU","127-Potraživanja s osnove ostalih aktivnosti","1274","127","0","Receivable","Asset","EUR"
"1275-Potraživanja za odobrene državne potpore","127-Potraživanja s osnove ostalih aktivnosti","1275","127","0","Receivable","Asset","EUR"
"1276-Potraživanja za PDV iz naknadno odobrenog popusta","127-Potraživanja s osnove ostalih aktivnosti","1276","127","0","Receivable","Asset","EUR"
"1277-Potraživanja s temelja troškova koje nadoknađuje...","127-Potraživanja s osnove ostalih aktivnosti","1277","127","0","Receivable","Asset","EUR"
"1278-Potraživanja iz zajedničkog poslovanje (prihod)","127-Potraživanja s osnove ostalih aktivnosti","1278","127","0","Receivable","Asset","EUR"
"1279-Potraživanja za povrat PDV-a iz trećih zemalja","127-Potraživanja s osnove ostalih aktivnosti","1279","127","0","Receivable","Asset","EUR"
"128-Ostala kratkoročna potraživanja","12-POTRAŽIVANJA (KRATKOTRAJNA)","128","12","0","Receivable","Asset","EUR"
"1280-Potraživanja iz odštetnih zahtjeva (od osiguravajućih...","128-Ostala kratkoročna potraživanja","1280","128","1","","Asset","EUR"
"1281-Potraživanja za udjel u dobitku – prihodu u...","128-Ostala kratkoročna potraživanja","1281","128","0","Receivable","Asset","EUR"
"1282-Potraživanja za tantijeme (nadoknade za korištenje...","128-Ostala kratkoročna potraživanja","1282","128","0","Receivable","Asset","EUR"
"1283-Potraživanja stečena cesijom, asignacijom i preuzimanjem...","128-Ostala kratkoročna potraživanja","1283","128","0","Receivable","Asset","EUR"
"1284-Potraživanja za nadoknadu troškova iz jamstva","128-Ostala kratkoročna potraživanja","1284","128","0","Receivable","Asset","EUR"
"1285-Potraživanja od kooperanata, zadrugara, OPG-a, ustanove","128-Ostala kratkoročna potraživanja","1285","128","0","Receivable","Asset","EUR"
"1286-Potraživanja od članova društva za pokriće gubitka","128-Ostala kratkoročna potraživanja","1286","128","0","Receivable","Asset","EUR"
"1287-Potraživanja za dana jamstva i činidbe","128-Ostala kratkoročna potraživanja","1287","128","0","Receivable","Asset","EUR"
"1288-Potraživanja za poreze iz poslovnih odnosa","128-Ostala kratkoročna potraživanja","1288","128","0","Receivable","Asset","EUR"
"1289-Ostala potraživanja","128-Ostala kratkoročna potraživanja","1289","128","0","Receivable","Asset","EUR"
"129-Vrijednosno usklađenje potraživanja","12-POTRAŽIVANJA (KRATKOTRAJNA)","129","12","0","Receivable","Asset","EUR"
"1290-Vrijednosno usklađenje potraživanja od kupaca","129-Vrijednosno usklađenje potraživanja","1290","129","1","","Asset","EUR"
"1291-Vrijednosno usklađenje potraživanja od povezanih društava","129-Vrijednosno usklađenje potraživanja","1291","129","0","Receivable","Asset","EUR"
"1292-Vrijednosno usklađenje od poduzetnika iz sudjelujućih...","129-Vrijednosno usklađenje potraživanja","1292","129","0","Receivable","Asset","EUR"
"1293-Vrijednosno usklađenje kamata","129-Vrijednosno usklađenje potraživanja","1293","129","0","Receivable","Asset","EUR"
"1294-Vrijednosno usklađenje za dane predujmove za usluge","129-Vrijednosno usklađenje potraživanja","1294","129","0","Receivable","Asset","EUR"
"1295-Vrijednosno usklađenje ostalih potraživanja (računi 126...","129-Vrijednosno usklađenje potraživanja","1295","129","0","Receivable","Asset","EUR"
"13-POTRAŽIVANJA OD ZAPOSLENIH I OSTALA POTRAŽIVANJA...","1-NOVAC, KRATKOTRAJNA FINANCIJSKA IMOVINA, KRATKOTRAJNA...","13","1","0","Fixed Asset","Asset","EUR"
"130-Potraživanja od zaposlenih","13-POTRAŽIVANJA OD ZAPOSLENIH I OSTALA POTRAŽIVANJA...","130","13","1","","Asset","EUR"
"1300-Potraživanja od zaposlenih za više isplaćenu plaću","130-Potraživanja od zaposlenih","1300","130","1","","Asset","EUR"
"1301-Potraživanja za isplaćeni predujam za službeni put","130-Potraživanja od zaposlenih","1301","130","0","Fixed Asset","Asset","EUR"
"1302-Potraživanja za dane novčane svote za nabave u gotovini...","130-Potraživanja od zaposlenih","1302","130","0","Fixed Asset","Asset","EUR"
"1303-Potraživanja za manjkove i učinjene štete (s PDV-om)","130-Potraživanja od zaposlenih","1303","130","0","Fixed Asset","Asset","EUR"
"1304-Potraživanja za prehranu, kazne, za korištenje...","130-Potraživanja od zaposlenih","1304","130","0","Fixed Asset","Asset","EUR"
"1305-Potraživanja od zaposlenih za manje plaćene poreze i...","130-Potraživanja od zaposlenih","1305","130","0","Fixed Asset","Asset","EUR"
"1306-Potraživanja od zaposlenika za plaćene privatne troškove...","130-Potraživanja od zaposlenih","1306","130","0","Fixed Asset","Asset","EUR"
"1307-Potraživanja od zaposlenika za primitak u naravi","130-Potraživanja od zaposlenih","1307","130","0","Fixed Asset","Asset","EUR"
"1309-Ostala potraživanja od zaposlenih","130-Potraživanja od zaposlenih","1309","130","0","Fixed Asset","Asset","EUR"
"131-Potraživanja od vanjskih suradnika","13-POTRAŽIVANJA OD ZAPOSLENIH I OSTALA POTRAŽIVANJA...","131","13","0","Fixed Asset","Asset","EUR"
"1310-Potraživanja za predujmljene honorare","131-Potraživanja od vanjskih suradnika","1310","131","1","","Asset","EUR"
"1311-Potraživanja za isplaćene svote","131-Potraživanja od vanjskih suradnika","1311","131","0","Fixed Asset","Asset","EUR"
"1319-Ostala potraživanja od vanjskih suradnika","131-Potraživanja od vanjskih suradnika","1319","131","0","Fixed Asset","Asset","EUR"
"133-Potraživanja od članova poduzetnika","13-POTRAŽIVANJA OD ZAPOSLENIH I OSTALA POTRAŽIVANJA...","133","13","0","Fixed Asset","Asset","EUR"
"1330-Potraživanja od članova društva za predujmljeni dobitak...","133-Potraživanja od članova poduzetnika","1330","133","1","","Asset","EUR"
"1331-Potraživanja od članova društva za privatne troškove","133-Potraživanja od članova poduzetnika","1331","133","0","Fixed Asset","Asset","EUR"
"1332-Potraživanja od članova ustanove","133-Potraživanja od članova poduzetnika","1332","133","0","Fixed Asset","Asset","EUR"
"1333-Potraživanja od članova zadruge","133-Potraživanja od članova poduzetnika","1333","133","0","Fixed Asset","Asset","EUR"
"1334-Potraživanje od obrtnika (dobitaša)","133-Potraživanja od članova poduzetnika","1334","133","0","Fixed Asset","Asset","EUR"
"1335-Potraživanja od prodaje članu društva","133-Potraživanja od članova poduzetnika","1335","133","0","Fixed Asset","Asset","EUR"
"134-Potraživanja u sporu i rizična potraživanja (iz skupine...","13-POTRAŽIVANJA OD ZAPOSLENIH I OSTALA POTRAŽIVANJA...","134","13","0","Fixed Asset","Asset","EUR"
"1340-Potraživanja od kupaca u sporu za glavnicu","134-Potraživanja u sporu i rizična potraživanja (iz skupine...","1340","134","1","","Asset","EUR"
"1341-Potraživanja od kupaca u sporu za kamate","134-Potraživanja u sporu i rizična potraživanja (iz skupine...","1341","134","0","Fixed Asset","Asset","EUR"
"1342-Potraživanja od kupaca za troškove iz sporova","134-Potraživanja u sporu i rizična potraživanja (iz skupine...","1342","134","0","Fixed Asset","Asset","EUR"
"1343-Potraživanja u sporu od ostalih subjekata","134-Potraživanja u sporu i rizična potraživanja (iz skupine...","1343","134","0","Fixed Asset","Asset","EUR"
"135-Potraživanja za sredstva u slobodnoj zoni","13-POTRAŽIVANJA OD ZAPOSLENIH I OSTALA POTRAŽIVANJA...","135","13","0","Fixed Asset","Asset","EUR"
"136-Potraživanja za prodaju na potrošački kredit","13-POTRAŽIVANJA OD ZAPOSLENIH I OSTALA POTRAŽIVANJA...","136","13","0","Fixed Asset","Asset","EUR"
"137-Potraživanja od poslovnih jedinica u inozemstvu","13-POTRAŽIVANJA OD ZAPOSLENIH I OSTALA POTRAŽIVANJA...","137","13","0","Fixed Asset","Asset","EUR"
"1370-Potraživanja za isporučena dobra i usluge","137-Potraživanja od poslovnih jedinica u inozemstvu","1370","137","1","","Asset","EUR"
"1371-Potraživanja za doznake novca, za dobitak i dr.","137-Potraživanja od poslovnih jedinica u inozemstvu","1371","137","0","Fixed Asset","Asset","EUR"
"138-Ostala poslovna potraživanja","13-POTRAŽIVANJA OD ZAPOSLENIH I OSTALA POTRAŽIVANJA...","138","13","0","Fixed Asset","Asset","EUR"
"1380-Potraživanja za naknadne popuste","138-Ostala poslovna potraživanja","1380","138","1","","Asset","EUR"
"1381-Potraživanja od ortaka","138-Ostala poslovna potraživanja","1381","138","0","Fixed Asset","Asset","EUR"
"1382-Potraživanja od zastupnika","138-Ostala poslovna potraživanja","1382","138","0","Fixed Asset","Asset","EUR"
"1383-Potraživanja iz prodaje vlastitog udjela (dionica)","138-Ostala poslovna potraživanja","1383","138","0","Fixed Asset","Asset","EUR"
"1389-Ostala poslovna potraživanja","138-Ostala poslovna potraživanja","1389","138","0","Fixed Asset","Asset","EUR"
"139-Vrijednosno usklađenje potraživanja od zaposlenih,...","13-POTRAŽIVANJA OD ZAPOSLENIH I OSTALA POTRAŽIVANJA...","139","13","0","Fixed Asset","Asset","EUR"
"14-POTRAŽIVANJA OD DRŽAVE ZA POREZE, CARINU I DOPRINOSE","1-NOVAC, KRATKOTRAJNA FINANCIJSKA IMOVINA, KRATKOTRAJNA...","14","1","0","Fixed Asset","Asset","EUR"
"140-Porez na dodanu vrijednost","14-POTRAŽIVANJA OD DRŽAVE ZA POREZE, CARINU I DOPRINOSE","140","14","1","","Asset","EUR"
"1400-Pretporez po primljenim isporukama i predujmovima u RH","140-Porez na dodanu vrijednost","1400","140","1","","Asset","EUR"
"14001-Pretporez po ulaznim računima","1400-Pretporez po primljenim isporukama i predujmovima u RH","14001","1400","0","Fixed Asset","Asset","EUR"
"140010-Pretporez – 5%","14001-Pretporez po ulaznim računima","140010","14001","1","","Asset","EUR"
"140011-Pretporez – 13%","14001-Pretporez po ulaznim računima","140011","14001","0","Fixed Asset","Asset","EUR"
"140012-Pretporez – 25%","14001-Pretporez po ulaznim računima","140012","14001","0","Fixed Asset","Asset","EUR"
"140013-Pretporez – 23%","14001-Pretporez po ulaznim računima","140013","14001","0","Fixed Asset","Asset","EUR"
"14002-Pretporez iz predujmova","1400-Pretporez po primljenim isporukama i predujmovima u RH","14002","1400","0","Fixed Asset","Asset","EUR"
"140020-Pretporez iz predujmova – 5%","14002-Pretporez iz predujmova","140020","14002","1","","Asset","EUR"
"140021-Pretporez iz predujmova – 13%","14002-Pretporez iz predujmova","140021","14002","0","Fixed Asset","Asset","EUR"
"140022-Pretporez iz predujmova – 25%","14002-Pretporez iz predujmova","140022","14002","0","Fixed Asset","Asset","EUR"
"140023-Pretporez iz predujmova – 23%","14002-Pretporez iz predujmova","140023","14002","0","Fixed Asset","Asset","EUR"
"14003-Ispravci pretporeza","1400-Pretporez po primljenim isporukama i predujmovima u RH","14003","1400","0","Fixed Asset","Asset","EUR"
"140030-Ispravak pretporeza zbog izlaska iz sustava PDV-a","14003-Ispravci pretporeza","140030","14003","1","","Asset","EUR"
"140031-Ispravak pretporeza zbog prenamjene dobara (oslobođene...","14003-Ispravci pretporeza","140031","14003","0","Fixed Asset","Asset","EUR"
"140032-Ispravak pretporeza zbog promjene postotka priznavanja...","14003-Ispravci pretporeza","140032","14003","0","Fixed Asset","Asset","EUR"
"140033-Ispravak pretporeza zbog ulaska u sustav PDV-a","14003-Ispravci pretporeza","140033","14003","0","Fixed Asset","Asset","EUR"
"1401-Pretporez iz prenesene porezne obveze u tuzemstvu – 25%","140-Porez na dodanu vrijednost","1401","140","0","Fixed Asset","Asset","EUR"
"14010-Pretporez od predujmova iz prenesene porezne obveze – 25%","1401-Pretporez iz prenesene porezne obveze u tuzemstvu – 25%","14010","1401","1","","Asset","EUR"
"14011-Pretporez po ulaznim računima iz prenesene porezne...","1401-Pretporez iz prenesene porezne obveze u tuzemstvu – 25%","14011","1401","0","Fixed Asset","Asset","EUR"
"1402-Pretporez od stjecanja dobara unutar EU","140-Porez na dodanu vrijednost","1402","140","0","Fixed Asset","Asset","EUR"
"14020-Pretporez od stjecanja dobara iz EU – 5%","1402-Pretporez od stjecanja dobara unutar EU","14020","1402","1","","Asset","EUR"
"14021-Pretporez od stjecanja dobara iz EU – 13%","1402-Pretporez od stjecanja dobara unutar EU","14021","1402","0","Fixed Asset","Asset","EUR"
"14022-Pretporez od stjecanja dobara iz EU – 25%","1402-Pretporez od stjecanja dobara unutar EU","14022","1402","0","Fixed Asset","Asset","EUR"
"1403-Pretporez od primljenih usluga iz EU","140-Porez na dodanu vrijednost","1403","140","0","Fixed Asset","Asset","EUR"
"14030-Pretporez od primljenih usluga iz EU – 5%","1403-Pretporez od primljenih usluga iz EU","14030","1403","1","","Asset","EUR"
"14031-Pretporez od primljenih usluga iz EU – 13%","1403-Pretporez od primljenih usluga iz EU","14031","1403","0","Fixed Asset","Asset","EUR"
"14032-Pretporez od primljenih usluga iz EU – 25%","1403-Pretporez od primljenih usluga iz EU","14032","1403","0","Fixed Asset","Asset","EUR"
"1404-Pretporez od primljenih isporuka dobara i usluga od...","140-Porez na dodanu vrijednost","1404","140","0","Fixed Asset","Asset","EUR"
"14040-Pretporez od poreznih obveznika bez sjedišta u RH – 5%","1404-Pretporez od primljenih isporuka dobara i usluga od...","14040","1404","1","","Asset","EUR"
"14041-Pretporez od poreznih obveznika bez sjedišta u RH – 13%","1404-Pretporez od primljenih isporuka dobara i usluga od...","14041","1404","0","Fixed Asset","Asset","EUR"
"14042-Pretporez od poreznih obveznika bez sjedišta u RH – 25%","1404-Pretporez od primljenih isporuka dobara i usluga od...","14042","1404","0","Fixed Asset","Asset","EUR"
"1405-PDV pri uvozu dobara","140-Porez na dodanu vrijednost","1405","140","0","Fixed Asset","Asset","EUR"
"14050-PDV pri uvozu dobara – 5%","1405-PDV pri uvozu dobara","14050","1405","1","","Asset","EUR"
"14051-PDV pri uvozu dobara – 13%","1405-PDV pri uvozu dobara","14051","1405","0","Fixed Asset","Asset","EUR"
"14052-PDV pri uvozu dobara – 25%","1405-PDV pri uvozu dobara","14052","1405","0","Fixed Asset","Asset","EUR"
"1406-Pretporez stečen po ugovoru o asignaciji ili iz...","140-Porez na dodanu vrijednost","1406","140","0","Fixed Asset","Asset","EUR"
"1407-Potraživanja za razliku većeg pretporeza od obveza u...","140-Porez na dodanu vrijednost","1407","140","0","Fixed Asset","Asset","EUR"
"1408-Pretporez koji još nije moguće priznati","140-Porez na dodanu vrijednost","1408","140","0","Fixed Asset","Asset","EUR"
"14080-Pretporez za koji nije stečen uvjet za priznavanje","1408-Pretporez koji još nije moguće priznati","14080","1408","1","","Asset","EUR"
"140800-Pretporez za koji nije stečen uvjet priznavanja – 5%","14080-Pretporez za koji nije stečen uvjet za priznavanje","140800","14080","1","","Asset","EUR"
"140801-Pretporez za koji nije stečen uvjet priznavanja – 13%","14080-Pretporez za koji nije stečen uvjet za priznavanje","140801","14080","0","Fixed Asset","Asset","EUR"
"140802-Pretporez za koji nije stečen uvjet priznavanja – 25%","14080-Pretporez za koji nije stečen uvjet za priznavanje","140802","14080","0","Fixed Asset","Asset","EUR"
"1409-Pretporez u drugim zemljama u kojima je porezni obveznik...","140-Porez na dodanu vrijednost","1409","140","0","Fixed Asset","Asset","EUR"
"14090-Pretporez u Sloveniji","1409-Pretporez u drugim zemljama u kojima je porezni obveznik...","14090","1409","1","","Asset","EUR"
"140900-Pretporez po primljenim isporukama dobara","14090-Pretporez u Sloveniji","140900","14090","1","","Asset","EUR"
"140901-Pretporez po primljenim isporukama usluga","14090-Pretporez u Sloveniji","140901","14090","0","Fixed Asset","Asset","EUR"
"140902-Potraživanja za razliku većeg pretporeza od obveza","14090-Pretporez u Sloveniji","140902","14090","0","Fixed Asset","Asset","EUR"
"14091-Pretporez u Austriji","1409-Pretporez u drugim zemljama u kojima je porezni obveznik...","14091","1409","0","Fixed Asset","Asset","EUR"
"140910-Pretporez po primljenim isporukama dobara","14091-Pretporez u Austriji","140910","14091","1","","Asset","EUR"
"140911-Pretporez po primljenim isporukama usluga","14091-Pretporez u Austriji","140911","14091","0","Fixed Asset","Asset","EUR"
"140912-Potraživanja za razliku većeg pretporeza od obveza","14091-Pretporez u Austriji","140912","14091","0","Fixed Asset","Asset","EUR"
"141-Potraživanja za porez i prirez na dohodak iz plaća i...","14-POTRAŽIVANJA OD DRŽAVE ZA POREZE, CARINU I DOPRINOSE","141","14","0","Fixed Asset","Asset","EUR"
"1410-Potraživanja za porez na dohodak iz plaća","141-Potraživanja za porez i prirez na dohodak iz plaća i...","1410","141","1","","Asset","EUR"
"1411-Potraživanja za prirez iz plaća","141-Potraživanja za porez i prirez na dohodak iz plaća i...","1411","141","0","Fixed Asset","Asset","EUR"
"1412-Potraživanja za porez na dohodak iz autorskih prava,...","141-Potraživanja za porez i prirez na dohodak iz plaća i...","1412","141","0","Fixed Asset","Asset","EUR"
"1413-Potraživanja za porez i prirez na stipendije i nagrade...","141-Potraživanja za porez i prirez na dohodak iz plaća i...","1413","141","0","Fixed Asset","Asset","EUR"
"1414-Potraživanja za poreze iz drugih dohodaka","141-Potraživanja za porez i prirez na dohodak iz plaća i...","1414","141","0","Fixed Asset","Asset","EUR"
"1415-Potraživanja za više plaćeni porez na dohodak od kamata","141-Potraživanja za porez i prirez na dohodak iz plaća i...","1415","141","0","Fixed Asset","Asset","EUR"
"1417-Potraživanja za više plaćeni porez na dohodak od kapitala","141-Potraživanja za porez i prirez na dohodak iz plaća i...","1417","141","0","Fixed Asset","Asset","EUR"
"1419-Potraživanje za više plaćene ostale poreze na dohodak","141-Potraživanja za porez i prirez na dohodak iz plaća i...","1419","141","0","Fixed Asset","Asset","EUR"
"142-Potraživanja za više plaćene doprinose iz plaća i na plaće","14-POTRAŽIVANJA OD DRŽAVE ZA POREZE, CARINU I DOPRINOSE","142","14","0","Fixed Asset","Asset","EUR"
"1420-Potraživanja za više plaćene doprinose za MO iz plaće","142-Potraživanja za više plaćene doprinose iz plaća i na plaće","1420","142","1","","Asset","EUR"
